ID_TRAM,UTM_IX,UTM_FX,UTM_IY,UTM_FY,LATITUD_I,LONGITUD_I,LATITUD_F,LONGITUD_F,ID_TARIFA,ID_HORARIO,ID_TARIFA1,ID_HORARIO1,TIPUS_TRAM,ADREÇA,COLOR_RGB,PLACES
82," 431443.391"," 431404.592"," 4582890.605"," 4582852.731","41.394624429756","2.17992283742","41.394280012074","2.179463086451",54,13,52,13,"VM","AUSIAS MARC, 78, C","00FF00",9
83," 431661.535"," 431665.467"," 4581587.403"," 4581582.505","41.382905775971","2.182678868088","41.3828619963","2.182726439153",46,81,,81,"AZL","PALAU, FRTE 2, PLA","0000FF",10
83," 431666.351"," 431677.354"," 4581582.497"," 4581577.533","41.382861999325","2.182737010899","41.382818225658","2.182869144072",46,81,,81,"AZL","PALAU, FRTE 2, PLA","0000FF",10
83," 431670.521"," 431661.989"," 4581603.231"," 4581588.725","41.383049093315","2.182784537811","41.382917721065","2.182684147932",46,81,,81,"AZL","PALAU, FRTE 2, PLA","0000FF",10
83," 431686.845"," 431690.552"," 4581569.610"," 4581567.406","41.382747673362","2.182983530198","41.382728137853","2.183028106743",46,81,,81,"AZL","PALAU, FRTE 2, PLA","0000FF",10
84," 431481.608"," 431478.597"," 4582885.286"," 4582888.346","41.394579781236","2.180380518925","41.3946070844","2.180344160843",54,13,52,13,"VM","NAPOLS, 95, C","00FF00",8
84," 431500.062"," 431484.822"," 4582866.656"," 4582882.215","41.394413563315","2.180603337825","41.394552396284","2.180419306122",54,13,52,13,"VM","NAPOLS, 95, C","00FF00",8
84," 431510.577"," 431500.466"," 4582855.935"," 4582866.249","41.394317900823","2.180730310403","41.394409932105","2.180608215728",54,13,52,13,"VM","NAPOLS, 95, C","00FF00",8
84," 431516.875"," 431511.078"," 4582849.294"," 4582855.460","41.394258625381","2.180806385775","41.39431366543","2.180736356107",54,13,52,13,"VM","NAPOLS, 95, C","00FF00",8
84," 431520.588"," 431517.581"," 4582845.560"," 4582848.758","41.3942253115","2.180851215627","41.394253858046","2.180814890176",54,13,52,13,"VM","NAPOLS, 95, C","00FF00",8
85," 431689.131"," 431674.600"," 4581631.067"," 4581608.899","41.383301377221","2.183003938485","41.383100488296","2.182832675457",46,81,,81,"AZL","PALAU, FRTE 12, PLA","0000FF",10
85," 431694.849"," 431690.733"," 4581633.141"," 4581632.320","41.383320542051","2.183072080844","41.383312798319","2.183022954041",46,81,,81,"AZL","PALAU, FRTE 12, PLA","0000FF",10
85," 431712.757"," 431696.120"," 4581622.952"," 4581632.893","41.383230295338","2.183287373816","41.383318416348","2.183087307482",46,81,,81,"AZL","PALAU, FRTE 12, PLA","0000FF",10
85," 431722.525"," 431720.286"," 4581614.596"," 4581618.316","41.383155866344","2.183405121384","41.383189180362","2.183377928229",46,81,,81,"AZL","PALAU, FRTE 12, PLA","0000FF",10
87," 431450.713"," 431452.808"," 4582737.816"," 4582737.785","41.393248970071","2.180027701756","41.393248869418","2.180052761178",54,13,52,13,"VM","ALI BEI, 51, C","00FF00",2
87," 431451.096"," 431455.412"," 4582737.105"," 4582737.063","41.393242599138","2.18003236285","41.393242588691","2.180083986369",54,13,52,13,"VM","ALI BEI, 51, C","00FF00",2
87," 431461.077"," 431463.119"," 4582737.007"," 4582736.986","41.393242567085","2.180151745327","41.393242551953","2.180176169743",54,13,52,13,"VM","ALI BEI, 51, C","00FF00",2
87," 431461.449"," 431463.488"," 4582737.655"," 4582737.625","41.393248434953","2.180156121071","41.393248338507","2.180180510628",54,13,52,13,"VM","ALI BEI, 51, C","00FF00",2
90," 431749.797"," 431762.967"," 4581417.083"," 4581437.310","41.381379287403","2.183753484163","41.381562578046","2.183908689679",46,81,,81,"AZL","SOTA MURALLA, frente 7, PAS","0000FF",16
90," 431758.928"," 431745.773"," 4581440.410"," 4581420.206","41.381590155541","2.183860043335","41.381407073256","2.183705014668",46,81,,81,"AZL","SOTA MURALLA, frente 7, PAS","0000FF",16
96," 431872.067"," 431839.435"," 4581621.816"," 4581570.229","41.383233569008","2.185192537116","41.382766189036","2.184808124472",52,13,,13,"VR","MARQUESA, 12, C","008000",10
96," 431878.914"," 431875.711"," 4581632.641"," 4581627.579","41.383331643673","2.185273196996","41.383285781782","2.185235464374",52,13,,13,"VR","MARQUESA, 12, C","008000",10
97," 431485.956"," 431482.858"," 4582932.308"," 4582929.280","41.395003652076","2.180427202123","41.394976116684","2.180390492027",54,13,52,13,"VM","AUSIAS MARC, 92, C","00FF00",8
97," 431507.012"," 431493.147"," 4582952.885"," 4582939.336","41.395190770863","2.180676708726","41.39506756183","2.180512412856",54,13,52,13,"VM","AUSIAS MARC, 92, C","00FF00",8
97," 431524.062"," 431510.214"," 4582969.713"," 4582956.182","41.395343782936","2.180878727855","41.395220737752","2.180714632507",54,13,52,13,"VM","AUSIAS MARC, 92, C","00FF00",8
97," 431531.826"," 431510.826"," 4582977.382"," 4582956.862","41.395413514264","2.180970720238","41.395226914242","2.180721875267",54,13,52,13,"VM","AUSIAS MARC, 92, C","00FF00",8
99," 431746.102"," 431771.888"," 4582422.038"," 4582395.763","41.390430054046","2.183596097519","41.390195597207","2.18390744081",52,76,,76,"VR","ROGER DE FLOR, 7, C","008000",5
100," 431493.888"," 431510.855"," 4582880.950"," 4582863.714","41.394541775408","2.180527879507","41.39438798554","2.180732755642",54,13,52,13,"VM","NAPOLS, 96, C","00FF00",5
100," 431525.223"," 431528.266"," 4582849.033"," 4582846.056","41.394256985466","2.180906257789","41.394230432378","2.180942988779",54,13,52,13,"VM","NAPOLS, 96, C","00FF00",5
104," 431668.621"," 431689.602"," 4582932.194"," 4582952.554","41.395018165428","2.182611923263","41.395203318768","2.182860563723",54,13,52,13,"VM","ALI BEI, 81, C","00FF00",7
105," 431673.093"," 431693.561"," 4583081.158"," 4583060.115","41.396360180005","2.182648602998","41.396172396276","2.182895782775",54,13,52,13,"VM","SARDENYA, 168, C","00FF00",10
105," 431698.340"," 431714.427"," 4583055.201"," 4583038.662","41.396128544534","2.182953495775","41.395980953151","2.183147767588",54,13,52,13,"VM","SARDENYA, 168, C","00FF00",10
105," 431698.340"," 431714.680"," 4583055.201"," 4583038.401","41.396128544534","2.182953495775","41.395978623952","2.183150822992",54,13,52,13,"VM","SARDENYA, 168, C","00FF00",10
105," 431716.914"," 431719.652"," 4583036.283"," 4583033.459","41.395959737998","2.18317778127","41.395934536283","2.183210847156",54,13,52,13,"VM","SARDENYA, 168, C","00FF00",10
106," 431688.974"," 431685.871"," 4583130.231"," 4583127.211","41.39680350184","2.182833011351","41.396776038833","2.182796238522",54,13,52,13,"VM","AUSIAS MARC, 130, C","00FF00",7
106," 431701.542"," 431695.511"," 4583142.466"," 4583136.608","41.396914763001","2.182981951342","41.396861491102","2.182910478029",54,13,52,13,"VM","AUSIAS MARC, 130, C","00FF00",7
106," 431719.459"," 431701.957"," 4583159.895"," 4583142.865","41.397073257558","2.183194283269","41.396918391812","2.182986869968",54,13,52,13,"VM","AUSIAS MARC, 130, C","00FF00",7
109," 431738.367"," 431752.616"," 4583017.097"," 4583016.889","41.395788761648","2.183436529629","41.395788097585","2.183606975946",54,13,52,13,"VM","ALI BEI, 111, C","00FF00",5
110," 431832.596"," 431815.286"," 4583269.381"," 4583252.383","41.398068934066","2.184535142391","41.397914375191","2.184330015598",54,13,52,13,"VM","AUSIAS MARC, 144, C","00FF00",2
114," 431887.914"," 431912.069"," 4583145.939"," 4583169.562","41.396961848493","2.185210672156","41.397176653032","2.185496923451",54,13,52,13,"VM","ALI BEI, 133, C","00FF00",4
114," 431915.062"," 431918.218"," 4583172.659"," 4583175.672","41.397204799371","2.185532373331","41.397232202956","2.185569782264",54,13,52,13,"VM","ALI BEI, 133, C","00FF00",4
115," 431929.295"," 431929.250"," 4583190.419"," 4583202.465","41.397365958591","2.185700612278","41.397474446353","2.185698719985",46,82,,82,"AZL","LEPANT, 125, C","0000FF",6
117," 431867.516"," 431864.918"," 4583269.898"," 4583272.580","41.39807654966","2.184952754007","41.39810048481","2.184921378171",54,13,52,13,"VM","LEPANT, 133, C","00FF00",6
117," 431878.443"," 431872.537"," 4583258.797"," 4583264.859","41.39797749489","2.185084698077","41.3980315916","2.185013375912",54,13,52,13,"VM","LEPANT, 133, C","00FF00",6
117," 431895.567"," 431892.550"," 4583241.212"," 4583244.356","41.397820567048","2.185291491604","41.397848627783","2.185255052513",54,13,52,13,"VM","LEPANT, 133, C","00FF00",6
117," 431924.922"," 431922.324"," 4583210.984"," 4583213.666","41.397550805858","2.185645996603","41.397574741204","2.185614621276",54,13,52,13,"VM","LEPANT, 133, C","00FF00",6
118," 431593.399"," 431582.416"," 4582858.866"," 4582850.709","41.394351347139","2.181720535749","41.394276947444","2.181590099735",54,13,52,13,"VM","ALI BEI, 73, C","00FF00",2
120," 431797.193"," 431789.921"," 4583463.974"," 4583446.152","41.39981852124","2.184089777729","41.399657391799","2.184004804425",54,13,52,13,"VM","RIBES, 50, C","00FF00",7
120," 431805.979"," 431800.533"," 4583485.580"," 4583472.233","41.400013859351","2.184192434391","41.399893188638","2.18412879749",54,13,52,13,"VM","RIBES, 50, C","00FF00",7
